 ,2000,2001,2002,2003,2004,2005,2006,2007,,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,..,..,179.4,190.7,211.4,242.0,263.7,359.7,,364.7,437.3,543.3,591.2,638.8,624.3,614.2,556.0
Albania,"1,126.7","1,281.7","1,425.1","1,846.1","2,373.6","2,673.8","2,972.7","3,595.0",,"4,370.5","4,114.1","4,094.3","4,437.1","4,247.6","4,413.1","4,578.6","3,952.8"
Algeria,"1,765.0","1,740.6","1,781.8","2,103.4","2,610.2","3,113.1","3,478.7","3,950.5",,"4,923.6","3,883.3","4,480.8","5,455.7","5,592.2","5,499.6","5,493.1","4,177.9"
American Samoa,..,..,"8,666.7","8,807.5","8,528.2","8,395.3","8,340.5","8,874.9",,"9,740.8","11,910.0","10,216.8","10,223.3","11,496.5","11,450.7","11,525.2","12,059.6"
Andorra,"21,854.2","22,970.5","25,067.2","32,272.8","37,966.2","40,064.2","42,674.8","47,804.8",,"48,719.7","43,504.2","40,850.2","43,334.8","38,686.5","39,540.7","41,303.9","35,770.8"
Angola,556.8,527.3,872.5,983.0,"1,255.6","1,902.4","2,599.6","3,122.0",,"4,080.9","3,122.8","3,587.9","4,615.5","5,100.1","5,254.9","5,408.4","4,167.0"
Antigua and Barbuda,"10,872.3","10,367.3","10,401.1","10,798.0","11,447.0","12,557.5","13,995.8","15,622.7",,"16,044.1","14,160.6","13,049.0","12,746.6","13,272.7","12,910.6","13,501.6","14,285.3"
Argentina,"7,708.1","7,208.4","2,593.4","3,349.8","4,277.7","5,109.9","5,919.0","7,245.4",,"9,020.9","8,225.1","10,386.0","12,848.9","13,082.7","13,080.3","12,334.8","13,789.1"
Armenia,622.7,694.4,783.2,930.1,"1,191.9","1,643.8","2,158.1","3,139.3",,"4,010.9","2,994.3","3,218.4","3,525.8","3,681.8","3,838.2","3,986.2","3,607.3"
Aruba,"20,617.8","20,670.4","20,436.9","20,834.0","22,568.4","23,300.7","24,046.2","25,834.1",,"27,083.6","24,631.2","23,513.5","24,985.0","24,712.5","26,441.6","26,893.0","28,396.9"
Australia,"21,697.7","19,527.3","20,117.8","23,492.4","30,513.9","34,081.0","36,117.5","41,001.1",,"49,654.9","42,783.3","52,088.0","62,574.1","68,027.8","68,156.6","62,511.7","56,707.0"
Austria,"24,564.5","24,537.5","26,401.7","32,222.9","36,821.5","38,403.1","40,635.3","46,855.8",,"51,708.8","47,963.2","46,858.0","51,375.0","48,567.7","50,716.7","51,717.5","44,178.0"
Azerbaijan,655.1,703.7,763.1,883.7,"1,045.0","1,578.4","2,473.1","3,851.4",,"5,574.6","4,950.3","5,843.5","7,189.7","7,496.3","7,875.8","7,891.3","5,500.3"
"Bahamas, The","27,098.2","27,486.2","28,867.1","28,327.8","28,396.0","30,279.4","30,713.8","31,472.3",,"30,627.3","28,552.5","28,443.9","28,005.9","29,485.9","28,583.0","30,065.2","31,776.1"
Bahrain,"13,636.4","12,868.2","13,049.9","14,222.0","15,846.5","17,959.4","19,307.5","20,976.4",,"23,066.5","19,355.9","20,722.1","22,514.2","23,654.4","24,744.3","24,989.4","22,634.1"
