Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,..,..,179.43,190.68,211.38,242.03,263.73,359.69,364.66,437.27,543.31,591.19,638.85,624.32,614.22,556.01
Albania,ALB,1126.68,1281.66,1425.12,1846.12,2373.58,2673.79,2972.74,3595.04,4370.54,4114.13,4094.35,4437.14,4247.63,4413.06,4578.63,3952.80
Algeria,DZA,1765.03,1740.61,1781.83,2103.38,2610.19,3113.09,3478.71,3950.51,4923.63,3883.27,4480.79,5455.68,5592.22,5499.59,5493.06,4177.89
Andorra,AND,21854.25,22970.51,25067.24,32272.85,37966.19,40064.22,42674.76,47804.85,48719.66,43504.22,40850.25,43334.81,38686.46,39540.72,41303.93,35770.78
Angola,AGO,556.84,527.33,872.49,982.96,1255.56,1902.42,2599.57,3122.00,4080.94,3122.78,3587.88,4615.47,5100.10,5254.88,5408.41,4166.98
Antigua and Barbuda,ATG,10872.29,10367.32,10401.05,10797.95,11446.97,12557.55,13995.80,15622.69,16044.11,14160.56,13048.96,12746.63,13272.73,12910.59,13501.58,14285.33
Argentina,ARG,7708.10,7208.37,2593.40,3349.81,4277.72,5109.85,5919.01,7245.45,9020.87,8225.14,10385.96,12848.86,13082.66,13080.25,12334.80,13789.06
Armenia,ARM,622.74,694.42,783.24,930.13,1191.92,1643.76,2158.15,3139.28,4010.86,2994.34,3218.38,3525.81,3681.84,3838.17,3986.23,3607.29
Australia,AUS,21697.71,19527.32,20117.79,23492.41,30513.94,34081.00,36117.49,41001.14,49654.91,42783.32,52087.97,62574.15,68027.84,68156.63,62511.69,56707.02
Austria,AUT,24564.46,24537.51,26401.75,32222.90,36821.52,38403.13,40635.28,46855.77,51708.77,47963.18,46858.04,51374.96,48567.70,50716.71,51717.50,44178.05
Azerbaijan,AZE,655.12,703.68,763.08,883.73,1045.01,1578.40,2473.08,3851.44,5574.60,4950.29,5843.53,7189.69,7496.29,7875.76,7891.31,5500.31
"Bahamas, The",BHS,27098.16,27486.24,28867.08,28327.81,28396.01,30279.39,30713.80,31472.29,30627.33,28552.52,28443.89,28005.91,29485.86,28583.02,30065.16,31776.06
Bahrain,BHR,13636.42,12868.18,13049.91,14222.04,15846.51,17959.40,19307.51,20976.44,23066.45,19355.92,20722.07,22514.20,23654.37,24744.30,24989.44,22634.09
Bangladesh,BGD,418.07,415.03,413.08,446.31,475.29,499.46,509.64,558.05,634.99,702.26,781.15,861.76,883.12,981.86,1118.87,1248.45
Barbados,BRB,11268.42,11209.42,11361.52,11699.37,12512.58,13822.74,15199.57,16770.66,17092.58,15885.41,16056.37,16458.35,16249.67,16451.28,16489.07,16524.90
Belarus,BLR,1276.49,1244.37,1479.31,1819.77,2378.62,3125.81,3847.43,4735.66,6377.37,5352.58,6033.69,6527.17,6953.13,7998.13,8341.40,5967.05
Belgium,BEL,23041.53,22995.16,24887.56,30587.67,35364.38,36795.98,38672.71,44262.90,48106.89,44583.54,44141.88,47348.53,44673.12,46744.66,47700.54,40991.81
Belize,BLZ,3364.49,3404.42,3526.08,3650.61,3802.26,3885.03,4155.32,4252.40,4404.31,4186.52,4270.78,4423.50,4505.60,4568.64,4718.44,4770.23
Benin,BEN,512.67,518.07,574.93,711.28,798.74,822.79,856.05,966.20,1125.43,1088.76,1036.53,1130.27,1145.14,1251.21,1291.41,1076.80
