STATISTIC,Statistic,TLIST(A1),Year,C02935V03550,Airports in Ireland,UNIT,VALUE
TAA05,Passengers,2005,2005,EICK,Cork,Number,2747190
TAA05,Passengers,2005,2005,EIDW,Dublin,Number,18504759
TAA05,Passengers,2005,2005,EIKY,Kerry,Number,385825
TAA05,Passengers,2005,2005,EIKN,Knock,Number,524648
TAA05,Passengers,2005,2005,EINN,Shannon,Number,3268333
TAA05,Passengers,2005,2005,EIDL,Donegal,Number,47793
TAA05,Passengers,2005,2005,EIIM,Inishmore,Number,12658
TAA05,Passengers,2005,2005,EIWF,Waterford,Number,74645
TAA05,Passengers,2005,2005,EICA,Connemara,Number,23126
TAA05,Passengers,2006,2006,EICK,Cork,Number,3023527
TAA05,Passengers,2006,2006,EIDW,Dublin,Number,21265887
TAA05,Passengers,2006,2006,EIKY,Kerry,Number,392576
TAA05,Passengers,2006,2006,EIKN,Knock,Number,608296
TAA05,Passengers,2006,2006,EINN,Shannon,Number,3690889
TAA05,Passengers,2006,2006,EIDL,Donegal,Number,56731
TAA05,Passengers,2006,2006,EIIM,Inishmore,Number,9443
TAA05,Passengers,2006,2006,EIWF,Waterford,Number,80698
TAA05,Passengers,2006,2006,EICA,Connemara,Number,20006
TAA05,Passengers,2007,2007,EICK,Cork,Number,3183146
TAA05,Passengers,2007,2007,EIDW,Dublin,Number,23307333
TAA05,Passengers,2007,2007,EIKY,Kerry,Number,391138
TAA05,Passengers,2007,2007,EIKN,Knock,Number,544042
TAA05,Passengers,2007,2007,EINN,Shannon,Number,3524450
TAA05,Passengers,2007,2007,EIDL,Donegal,Number,61410
TAA05,Passengers,2007,2007,EIIM,Inishmore,Number,12039
TAA05,Passengers,2007,2007,EIWF,Waterford,Number,116392
TAA05,Passengers,2007,2007,EICA,Connemara,Number,22338
TAA05,Passengers,2008,2008,EICK,Cork,Number,3259109
TAA05,Passengers,2008,2008,EIDW,Dublin,Number,23507205
TAA05,Passengers,2008,2008,EIKY,Kerry,Number,426115
TAA05,Passengers,2008,2008,EIKN,Knock,Number,630806
TAA05,Passengers,2008,2008,EINN,Shannon,Number,2956327
TAA05,Passengers,2008,2008,EIDL,Donegal,Number,65539
TAA05,Passengers,2008,2008,EIIM,Inishmore,Number,10628
TAA05,Passengers,2008,2008,EIWF,Waterford,Number,144253
TAA05,Passengers,2008,2008,EICA,Connemara,Number,19442
TAA05,Passengers,2009,2009,EICK,Cork,Number,2767776
TAA05,Passengers,2009,2009,EIDW,Dublin,Number,20507446
TAA05,Passengers,2009,2009,EIKY,Kerry,Number,356738
TAA05,Passengers,2009,2009,EIKN,Knock,Number,606464
TAA05,Passengers,2009,2009,EINN,Shannon,Number,2579676
TAA05,Passengers,2009,2009,EIDL,Donegal,Number,50761
TAA05,Passengers,2009,2009,EIIM,Inishmore,Number,9872
TAA05,Passengers,2009,2009,EIWF,Waterford,Number,110826
TAA05,Passengers,2009,2009,EICA,Connemara,Number,18869
TAA05,Passengers,2010,2010,EICK,Cork,Number,2422872
TAA05,Passengers,2010,2010,EIDW,Dublin,Number,18426823
TAA05,Passengers,2010,2010,EIKY,Kerry,Number,383866
TAA05,Passengers,2010,2010,EIKN,Knock,Number,586393
TAA05,Passengers,2010,2010,EINN,Shannon,Number,1531309
TAA05,Passengers,2010,2010,EIDL,Donegal,Number,46825
TAA05,Passengers,2010,2010,EIIM,Inishmore,Number,11650
TAA05,Passengers,2010,2010,EIWF,Waterford,Number,103986
TAA05,Passengers,2010,2010,EICA,Connemara,Number,19612
TAA05,Passengers,2011,2011,EICK,Cork,Number,2356629
TAA05,Passengers,2011,2011,EIDW,Dublin,Number,18749078
TAA05,Passengers,2011,2011,EIKY,Kerry,Number,310937
TAA05,Passengers,2011,2011,EIKN,Knock,Number,653637
TAA05,Passengers,2011,2011,EINN,Shannon,Number,1364831
TAA05,Passengers,2011,2011,EIDL,Donegal,Number,38309
TAA05,Passengers,2011,2011,EIIM,Inishmore,Number,10629
TAA05,Passengers,2011,2011,EIWF,Waterford,Number,81575
TAA05,Passengers,2011,2011,EICA,Connemara,Number,17966
TAA05,Passengers,2012,2012,EICK,Cork,Number,2333643
TAA05,Passengers,2012,2012,EIDW,Dublin,Number,19090781
TAA05,Passengers,2012,2012,EIKY,Kerry,Number,286442
TAA05,Passengers,2012,2012,EIKN,Knock,Number,677368
TAA05,Passengers,2012,2012,EINN,Shannon,Number,1286139
TAA05,Passengers,2012,2012,EIDL,Donegal,Number,29226
TAA05,Passengers,2012,2012,EIIM,Inishmore,Number,12126
TAA05,Passengers,2012,2012,EIWF,Waterford,Number,77875
TAA05,Passengers,2012,2012,EICA,Connemara,Number,19490
TAA05,Passengers,2013,2013,EICK,Cork,Number,2252636
TAA05,Passengers,2013,2013,EIDW,Dublin,Number,20148574
TAA05,Passengers,2013,2013,EIKY,Kerry,Number,306042
TAA05,Passengers,2013,2013,EIKN,Knock,Number,665558
TAA05,Passengers,2013,2013,EINN,Shannon,Number,1308242
TAA05,Passengers,2013,2013,EIDL,Donegal,Number,33768
TAA05,Passengers,2013,2013,EIIM,Inishmore,Number,12393
TAA05,Passengers,2013,2013,EIWF,Waterford,Number,28168
TAA05,Passengers,2013,2013,EICA,Connemara,Number,20354
TAA05,Passengers,2014,2014,EICK,Cork,Number,2138057
TAA05,Passengers,2014,2014,EIDW,Dublin,Number,21694893
