Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,271963258,3489.1506807835876,4018879,51.560179496146745,545136,5331019,68.39427027720134,43676,0.5603409308102354,5766,
United States of America,Americas,49833416,15055.292,571461,172.645,0,792371,239.385,5092,1.538,0
India,South-East Asia,34726049,2516.372,51305,3.718,7447,476869,34.556,2134,0.155,391
Brazil,Americas,22201221,10444.713,33440,15.732,5446,617271,290.399,1020,0.48,301
The United Kingdom,Europe,11097855,16347.781,436870,643.535,87565,146937,216.447,802,1.181,146
Russian Federation,Europe,10159389,6961.611,202710,138.905,27743,295104,202.217,7924,5.43,1080
Turkey,Europe,9118424,10811.625,134017,158.903,18100,79863,94.693,1261,1.495,167
France,Europe,8217565,12634.757,350382,538.723,60724,118632,182.4,973,1.496,186
Germany,Europe,6721375,8081.809,297855,358.142,50968,107639,129.426,2643,3.178,437
Iran (Islamic Republic of),Eastern Mediterranean,6160303,7334.31,15659,18.643,0,130831,155.764,385,0.458,0
Spain,Europe,5422168,11455.459,138262,292.107,17309,88667,187.327,195,0.412,7
Argentina,Americas,5371341,11884.609,23218,51.372,4819,116857,258.557,149,0.33,31
Italy,Europe,5308180,8900.147,143400,240.437,26104,135301,226.857,750,1.258,123
Colombia,Americas,5099746,10022.516,13365,26.266,2066,129256,254.026,327,0.643,51
Indonesia,South-East Asia,4260148,1557.506,1396,0.51,291,143986,52.641,63,0.023,7
Mexico,Americas,3924638,3043.942,9484,7.356,2956,297188,230.498,622,0.482,204
Poland,Europe,3923472,10336.313,138436,364.707,20027,90872,239.401,2944,7.756,566
Ukraine,Europe,3597046,8224.873,53362,122.016,8899,92641,211.829,2298,5.255,328
South Africa,Africa,3255816,5489.61,162364,273.761,24785,90262,152.19,202,0.341,36
Netherlands,Europe,2936761,16870.583,108521,623.412,16439,20310,116.673,391,2.246,55
Philippines,Western Pacific,2837016,2588.965,1020,0.931,289,50496,46.081,560,0.511,47
Malaysia,Western Pacific,2707402,8364.957,28937,89.406,4262,31026,95.86,239,0.738,37
Czechia,Europe,2388253,22332.772,75294,704.081,9488,35046,327.718,697,6.518,45
Peru,Americas,2258456,6849.648,10009,30.356,1660,201992,612.619,502,1.523,90
Thailand,South-East Asia,2185497,3131.086,24717,35.411,3537,21327,30.554,215,0.308,41
Iraq,Eastern Mediterranean,2088833,5193.196,2641,6.566,0,24007,59.686,76,0.189,0
Belgium,Europe,1990160,17272.036,52858,458.74,9,27763,240.947,259,2.248,5
Canada,Americas,1851057,4904.482,32315,85.62,5801,29994,79.471,142,0.376,25
Romania,Europe,1796230,9293.006,5659,29.277,812,58019,300.168,585,3.027,84
Chile,Americas,1787676,9351.628,9306,48.681,1492,38773,202.828,173,0.905,46
Japan,Western Pacific,1729401,1367.37,991,0.784,193,18378,14.531,7,0.006,2
Bangladesh,South-East Asia,1580559,959.721,1740,1.057,0,28041,17.027,24,0.015,0
Viet Nam,Western Pacific,1493237,1534.065,125804,129.244,34062,28857,29.646,1671,1.717,241
Israel,Europe,1353508,15637.474,4428,51.158,838,8230,95.084,9,0.104,0
Pakistan,Eastern Mediterranean,1289543,583.788,1840,0.833,0,28839,13.056,46,0.021,0
Serbia,Europe,1279445,18471.192,9038,130.481,1325,12306,177.66,231,3.335,31
Sweden,Europe,1246755,12072.082,20608,199.543,3996,15226,147.43,16,0.155,0
Austria,Europe,1238857,13918.078,24674,277.203,2859,12987,145.904,215,2.415,13
Hungary,Europe,1218295,12470.359,35373,362.075,4977,37530,384.154,1101,11.27,154
Portugal,Europe,1211130,11763.216,29836,289.785,5137,18717,181.791,107,1.039,19
Switzerland,Europe,1160131,13404.763,47688,551.012,11,11484,132.692,109,1.259,0
Kazakhstan,Europe,1065597,5675.101,3952,21.047,605,18098,96.385,93,0.495,10
Greece,Europe,1022141,9536.174,32327,301.598,4696,19651,183.336,669,6.242,98
Jordan,Eastern Mediterranean,1019691,9993.9,26352,258.274,0,12048,118.081,198,1.941,0
Cuba,Americas,963885,8509.912,457,4.035,72,8313,73.394,2,0.018,0
Morocco,Eastern Mediterranean,951763,2578.566,817,2.213,0,14798,40.092,6,0.016,0
Georgia,Europe,904181,22665.864,21359,535.424,2979,12971,325.155,340,8.523,53
Nepal,South-East Asia,825445,2832.997,1659,5.694,269,11570,39.709,18,0.062,3
Slovakia,Europe,798663,14633.228,34551,633.049,4497,15843,290.278,607,11.122,113
United Arab Emirates,Eastern Mediterranean,743004,7512.374,497,5.025,0,2151,21.748,2,0.02,0
Bulgaria,Europe,721819,10383.671,10455,150.4,1443,29933,430.599,551,7.926,86
Tunisia,Eastern Mediterranean,719903,6091.262,1037,8.774,0,25443,215.279,30,0.254,0
Lebanon,Eastern Mediterranean,690841,10121.553,7515,110.103,0,8860,129.808,56,0.82,0
Belarus,Europe,679873,7194.94,10242,108.389,1596,5338,56.491,111,1.175,16
Croatia,Europe,666162,16415.35,21956,541.033,3765,11825,291.388,380,9.364,46
Ireland,Europe,640548,12902.724,29693,598.114,4141,5835,117.536,47,0.947,0
Guatemala,Americas,623195,3478.511,2342,13.072,329,16061,89.648,53,0.296,4
Azerbaijan,Europe,608060,5997.135,7032,69.355,984,8149,80.371,111,1.095,12
Denmark,Europe,589274,10120.178,53079,911.578,9999,3051,52.398,68,1.168,12
Sri Lanka,South-East Asia,577724,2697.975,6298,29.412,0,14698,68.64,125,0.584,0
Costa Rica,Americas,568373,11157.437,549,10.777,68,7336,144.009,12,0.236,3
Bolivia (Plurinational State of),Americas,558565,4785.094,10673,91.433,1800,19372,165.955,96,0.822,17
Republic of Korea,Western Pacific,551551,1075.794,47945,93.516,7435,4591,8.955,461,0.899,73
Saudi Arabia,Eastern Mediterranean,550369,1580.89,326,0.936,0,8856,25.438,7,0.02,0
Ecuador,Americas,534176,3027.684,4050,22.955,0,33570,190.273,82,0.465,0
Myanmar,South-East Asia,527714,969.888,1690,3.106,0,19201,35.29,31,0.057,0
Lithuania,Europe,499262,17868.501,11309,404.747,1619,7069,252.998,136,4.867,10
Panama,Americas,481824,11166.86,1923,44.568,386,7394,171.365,13,0.301,3
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,465094,9116.962,1817,35.618,0,4855,95.17,29,0.568,0
Paraguay,Americas,464004,6505.454,452,6.337,78,16517,231.573,29,0.407,1
Slovenia,Europe,445228,21243.203,8854,422.452,1345,5876,280.362,38,1.813,1
Venezuela (Bolivarian Republic of),Americas,439935,1547.109,3757,13.212,491,5258,18.491,42,0.148,6
Kuwait,Eastern Mediterranean,413790,9689.337,202,4.73,0,2466,57.744,0,0,0
Dominican Republic,Americas,411014,3788.877,1524,14.049,88,4220,38.902,6,0.055,0
Uruguay,Americas,403293,11609.797,1653,47.586,315,6147,176.957,9,0.259,1
Mongolia,Western Pacific,386399,11786.602,1610,49.111,262,1968,60.031,15,0.458,0
Libya,Eastern Mediterranean,379328,5520.476,2950,42.932,0,5569,81.047,51,0.742,0
Honduras,Americas,378685,3823.322,262,2.645,43,10424,105.244,8,0.081,0
Ethiopia,Africa,374402,325.67,1691,1.471,542,6855,5.963,36,0.031,9
Republic of Moldova,Europe,371410,9207.075,2913,72.212,459,9450,234.261,135,3.347,16
Egypt,Eastern Mediterranean,370819,362.36,4988,4.874,0,21155,20.672,278,0.272,0
Armenia,Europe,343350,11587.003,1235,41.677,193,7885,266.094,118,3.982,11
Norway,Europe,338320,6303.027,31526,587.341,3220,1202,22.394,62,1.155,0
Oman,Eastern Mediterranean,304741,5967.561,87,1.704,0,4113,80.542,0,0,0
Bosnia and Herzegovina,Europe,283784,8649.802,3315,101.042,675,13091,399.017,209,6.37,27
Bahrain,Eastern Mediterranean,278149,16346.561,214,12.577,0,1394,81.924,0,0,0
Singapore,Western Pacific,274972,4700.101,2993,51.159,355,808,13.811,29,0.496,1
Latvia,Europe,264965,13889.42,4957,259.845,934,4419,231.643,70,3.669,11
Kenya,Africa,258557,480.846,2761,5.135,943,5350,9.95,11,0.02,0
Qatar,Eastern Mediterranean,245690,8527.785,982,34.085,0,613,21.277,2,0.069,0
Australia,Western Pacific,238969,937.138,15057,59.047,3423,2126,8.337,44,0.173,9
Estonia,Europe,231117,17390.608,3671,276.228,603,1874,141.011,29,2.182,5
Nigeria,Africa,221071,107.243,5758,2.793,1051,2983,1.447,2,0.001,0
North Macedonia,Europe,220467,10582.179,2105,101.038,298,7778,373.336,72,3.456,6
Algeria,Africa,213745,487.434,1521,3.469,212,6171,14.073,45,0.103,6
Finland,Europe,213318,3860.755,10701,193.673,758,1454,26.315,3,0.054,0
Zambia,Africa,213139,1159.375,2577,14.018,861,3673,19.979,5,0.027,2
Albania,Europe,204928,7120.995,2065,71.756,301,3156,109.667,28,0.973,4
Botswana,Africa,199864,8498.967,3774,160.485,2220,2425,103.12,4,0.17,1
Uzbekistan,Europe,196739,587.821,1493,4.461,217,1453,4.341,23,0.069,4
Puerto Rico,Americas,190306,6652.072,1080,37.751,471,3278,114.581,4,0.14,1
Zimbabwe,Africa,186304,1253.481,30487,205.121,4247,4771,32.1,48,0.323,12
Kyrgyzstan,Europe,184123,2822.158,260,3.985,29,2779,42.595,13,0.199,2
