Country,Country,Infants lacking immunization (% of one-year-olds) DTP 2013,Infants lacking immunization (% of one-year-olds) Measles 2013,"Mortality rates (per 1,000 live births) Infant 2013","Mortality rates (per 1,000 live births) Under-five 2013",Child malnutrition (% under age 5) Stunting (moderate or severe) 2008-2013,"Adult mortality rate (per 1,000 people) Female 2013","Adult mortality rate (per 1,000 people) Male 2013","Deaths due to Malaria (per 100,000 people) 2012","Deaths due to Tuberculosis (per 100,000 people) 2012","HIV prevalence, adult (% ages 15-49) 2013",Life expectancy at age 60 (years) 2010/2015,"Physicians (per 10,000 people) 2001-2013",Public health expenditure (% of GDP) 2013
Afghanistan,Afghanistan,14,25,70.2,97.3,59.3,232,252,0.2,37,0.1,15.9,2.3,8.1
Albania,Albania,1,1,13.3,14.9,23.1,85,118,,0.3,0.1,21.1,11.5,5.9
Algeria,Algeria,1,5,21.6,25.2,15.9,121,164,0,15,0.1,17.9,12.1,6.6
Andorra,Andorra,2,5,2.2,3,,43,90,,0.9,,,37,8.1
Angola,Angola,3,9,101.6,167.4,29.2,322,372,100.9,42,2.4,15.7,1.7,3.8
Antigua and Barbuda,Antigua and Barbuda,1,2,7.7,9.3,,145,201,,1.4,,21.5,,4.9
Argentina,Argentina,7,9,11.9,13.3,8.2,83,151,,1.3,,21.4,31.6,7.3
Armenia,Armenia,3,3,14,15.6,20.8,95,227,,6.3,0.2,20,26.9,4.5
Australia,Australia,8,6,3.4,4,,45,78,,0.2,0.2,25.1,32.7,9
Austria,Austria,7,24,3.2,3.9,,46,91,,0.4,,23.9,48.3,11
Azerbaijan,Azerbaijan,5,2,29.9,34.2,26.8,83,167,0.1,4.2,0.2,18.3,34.3,5.6
Bahamas,Bahamas,1,8,10.4,12.9,,88,141,,0.4,3.2,22.3,28.2,7.3
Bahrain,Bahrain,1,1,5.2,6.1,13.6,54,70,,0.3,,19.5,9.1,4.9
Bangladesh,Bangladesh,1,7,33.2,41.1,41.4,126,156,13.9,45,0.1,18.4,3.6,3.7
Barbados,Barbados,7,10,13.3,14.4,,65,116,,0.7,0.9,19.5,18.1,6.8
Belarus,Belarus,1,1,3.7,4.9,4.5,100,299,,6,0.5,17.1,37.6,6.1
Belgium,Belgium,1,8,3.5,4.4,,57,98,,0.4,,23.6,29.9,11.2
Belize,Belize,4,1,14.3,16.7,19.3,78,145,0,4.3,1.5,21.5,8.3,5.4
Benin,Benin,15,37,56.2,85.3,44.7,238,284,79.6,9.4,1.1,15.6,0.6,4.6
Bhutan,Bhutan,3,6,29.7,36.2,33.6,212,219,0,14,0.1,19.5,2.6,3.6
Bolivia ,Bolivia (Plurinational State of),2,5,31.2,39.1,27.2,172,247,0.1,21,0.2,18.6,4.7,6.1
Bosnia and Herzegovina,Bosnia and Herzegovina,5,6,5.7,6.6,8.9,64,138,,5.2,,20.2,16.9,9.6
Botswana,Botswana,2,6,36.3,46.6,31.4,254,321,0.4,21,21.9,16.4,3.4,5.4
Brazil,Brazil,1,1,12.3,13.7,7.1,97,197,0.6,2.5,0.5,21.8,18.9,9.7
Brunei Darussalam,Brunei Darussalam,4,1,8.4,9.9,,69,101,,3,,21.4,15,2.5
Bulgaria,Bulgaria,4,6,10.1,11.6,8.8,83,189,,2,,18.8,38.1,7.6
Burkina Faso,Burkina Faso,6,18,64.1,97.6,32.9,256,298,103.3,8.5,0.9,15.1,0.5,6.4
Burundi,Burundi,2,2,54.8,82.9,57.5,300,359,63.7,18,1,16,0.3,8
Cabo Verde,Cabo Verde,7,9,21.9,26,21.4,68,144,0,23,0.5,19.9,3,4.4
Cambodia,Cambodia,5,10,32.5,37.9,40.9,157,210,3.7,63,0.7,23.8,2.3,7.5
Cameroon,Cameroon,5,17,60.8,94.5,32.6,341,370,64.7,29,4.3,16.4,0.8,5.1
Canada,Canada,2,5,4.6,5.2,,52,81,,0.2,,24.4,20.7,10.9
Central African Republic,Central African Republic,65,75,96.1,139.2,40.7,412,433,114.9,50,3.8,15.9,0.5,3.9
Chad,Chad,45,41,88.5,147.5,38.7,377,410,152.6,18,2.5,15.6,0.4,3.6
Chile,Chile,8,10,7.1,8.2,1.8,55,107,,1.2,0.3,23.6,10.2,7.7
China,China,1,1,10.9,12.7,9.4,76,103,0,3.2,,19.5,14.6,5.6
Colombia,Colombia,3,8,14.5,16.9,12.7,73,148,0.9,1.6,0.5,21.3,14.7,6.8
Comoros,Comoros,15,18,57.9,77.9,32.1,234,281,70.4,6.3,,15.9,1.5,5.8
Congo,Congo,10,35,35.6,49.1,25,280,323,103.8,42,2.5,17.1,1,4.1
Congo (Democratic Republic of the),Congo (Democratic Republic of the),14,27,86.1,118.5,43.5,320,379,106.6,54,1.1,15.2,1.1,3.5
Costa Rica,Costa Rica,2,9,8.4,9.6,5.6,64,111,0,0.8,0.2,23.8,11.1,9.9
Cote d'Ivoire,Cote d'Ivoire,7,26,71.3,100,29.6,398,410,70.6,22,2.7,13.9,1.4,5.7
Croatia,Croatia,2,6,3.8,4.5,,58,135,,1.4,,20.6,28.4,7.3
Cuba,Cuba,2,1,5,6.2,7,73,115,,0.3,0.2,22.9,67.2,8.8
Cyprus,Cyprus,1,14,2.8,3.6,,36,75,,0.2,0.1,22,22.9,7.4
Czech Republic,Czech Republic,1,1,2.9,3.6,2.6,57,127,,0.4,0.1,21.1,36.2,7.2
Denmark,Denmark,3,11,2.9,3.5,,60,100,,0.4,0.2,22.4,34.2,10.6
Djibouti,Djibouti,13,20,57.4,69.6,33.5,245,286,27.9,76,0.9,17.5,2.3,8.9
Dominica,Dominica,2,7,10.2,11.4,,116,219,,2,,,15.9,6
Dominican Republic,Dominican Republic,9,21,23.6,28.1,10.1,146,160,0.1,4.4,0.7,21.9,14.9,5.4
Ecuador,Ecuador,1,3,19.1,22.5,25.3,85,157,0,2.7,0.4,23.6,16.9,6.4
Egypt,Egypt,3,4,18.6,21.8,30.7,117,193,,0.5,0.1,17.5,28.3,5.1
El Salvador,El Salvador,3,6,13.5,15.7,20.6,136,290,0,1,0.5,22,16,6.9
Equatorial Guinea,Equatorial Guinea,45,58,69.3,95.8,26.2,319,368,69.3,0,,15.9,3,3.5
Eritrea,Eritrea,3,4,36.1,49.9,50.3,229,301,3.6,4.6,0.6,15.1,0.5,3
Estonia,Estonia,4,6,2.7,3.4,,64,195,,2.8,1.3,20.2,32.6,5.7
Ethiopia,Ethiopia,16,38,44.4,64.4,44.2,198,239,48.1,18,1.2,17.8,0.3,5.1
